datetime,pm25,hour,dayofweek,is_weekend,lag_1h,lag_24h,lag_48h,rolling_mean_6h,rolling_mean_24h,rolling_std_24h
2024-01-30 14:00:00+00:00,11.051965811965813,14,1,0,11.052307692307693,11.06017094017094,5.32,11.052820512820515,11.055897435897437,0.0024174590808141404
2024-01-30 15:00:00+00:00,11.051623931623933,15,1,0,11.051965811965813,11.05982905982906,6.766666666666667,11.052478632478634,11.055555555555557,0.002417459080813436
2024-01-30 16:00:00+00:00,11.051282051282053,16,1,0,11.051623931623933,11.05948717948718,9.1375,11.052136752136754,11.055213675213677,0.0024174590808127318
2024-01-30 17:00:00+00:00,11.050940170940171,17,1,0,11.051282051282053,11.0591452991453,8.816666666666666,11.051794871794874,11.054871794871795,0.00241745908081209
2024-01-30 18:00:00+00:00,11.050598290598291,18,1,0,11.050940170940171,11.05880341880342,9.2675,11.051452991452992,11.054529914529915,0.0024174590808112573
2024-01-30 19:00:00+00:00,11.050256410256411,19,1,0,11.050598290598291,11.05846153846154,11.066666666666668,11.051111111111112,11.054188034188035,0.002417459080810424
2024-01-30 20:00:00+00:00,11.049914529914531,20,1,0,11.050256410256411,11.05811965811966,11.066324786324788,11.050769230769232,11.053846153846154,0.0024174590808095915
2024-01-30 21:00:00+00:00,11.049572649572651,21,1,0,11.049914529914531,11.05777777777778,11.065982905982908,11.05042735042735,11.053504273504275,0.0024174590808087584
2024-01-30 22:00:00+00:00,11.049230769230771,22,1,0,11.049572649572651,11.057435897435898,11.065641025641026,11.05008547008547,11.053162393162395,0.002417459080808054
2024-01-30 23:00:00+00:00,11.04888888888889,23,1,0,11.049230769230771,11.057094017094018,11.065299145299146,11.04974358974359,11.052820512820515,0.0024174590808074777
2024-01-31 00:00:00+00:00,11.04854700854701,0,2,0,11.04888888888889,11.056752136752138,11.064957264957268,11.049401709401712,11.052478632478634,0.0024174590808068363
2024-01-31 01:00:00+00:00,11.04820512820513,1,2,0,11.04854700854701,11.056410256410258,11.064615384615388,11.04905982905983,11.052136752136754,0.0024174590808060032
